order_id,order_date,customer_id,customer_name,customer_type,product_id,product_name,category,unit_price,quantity,discount_rate,subtotal,total_amount,sales_amount,region,salesperson,status,review_flag
O0019,2026-03-07,C008,個人顧客B,個人,P011,デスク,オフィス家具,26000,1,0.00,26000,26000,26000,関西,伊藤,完了,通常
O0020,2026-04-13,C005,北斗システム,法人,P012,LEDデスクライト,オフィス家具,4800,30,0.10,144000,129600,129600,九州,田中,完了,通常
O0021,2026-03-03,C004,東都サービス,法人,P004,USB-Cハブ,IT機器,5900,5,0.10,29500,26550,26550,関西,佐藤,完了,通常
O0022,2026-02-06,C001,青空商事,法人,P012,LEDデスクライト,オフィス家具,4800,1,0.00,4800,4800,4800,九州,鈴木,完了,通常
O0023,2026-05-23,C008,個人顧客B,個人,P011,デスク,オフィス家具,24800,1,0.05,24800,23560,23560,九州,田中,保留,要レビュー
O0024,2026-05-05,C007,個人顧客A,個人,P008,外付けSSD 1TB,ストレージ,14500,1,0.00,14500,14500,14500,東北,田中,完了,通常
O0025,2026-01-28,C002,みらい工業,法人,P011,デスク,オフィス家具,23600,5,0.05,118000,112100,112100,関西,鈴木,処理中,通常
O0026,2026-04-08,C008,個人顧客B,個人,P009,USBメモリ 64GB,ストレージ,1800,1,0.00,1800,1800,1800,関東,田中,完了,通常
O0027,2026-02-20,C009,個人顧客C,個人,P001,ノートPC,IT機器,93100,5,0.10,465500,418950,418950,関西,田中,処理中,通常
O0028,2026-09-06,C004,東都サービス,法人,P008,外付けSSD 1TB,ストレージ,14500,30,0.00,435000,435000,435000,東北,高橋,完了,通常
O0029,2026-08-21,C007,個人顧客A,個人,P005,ワイヤレスマウス,周辺機器,4000,2,0.00,8000,8000,8000,関西,佐藤,完了,通常
O0030,2026-02-01,C006,ひかり企画,法人,P012,LEDデスクライト,オフィス家具,4600,1,0.05,4600,4370,4370,九州,鈴木,保留,要レビュー
O0031,2026-01-30,C002,みらい工業,法人,P009,USBメモリ 64GB,ストレージ,1800,1,0.00,1800,1800,1800,東北,佐藤,処理中,通常
O0032,2026-05-07,C010,個人顧客D,個人,P010,オフィスチェア,オフィス家具,30400,2,0.00,60800,60800,60800,九州,高橋,完了,通常
O0033,2026-05-14,C006,ひかり企画,法人,P004,USB-Cハブ,IT機器,6200,3,0.00,18600,18600,18600,東北,高橋,完了,通常
O0034,2026-02-07,C008,個人顧客B,個人,P001,ノートPC,IT機器,102900,5,0.10,514500,463050,463050,関西,伊藤,完了,通常
O0035,2026-05-16,C006,ひかり企画,法人,P003,Webカメラ,IT機器,7400,20,0.05,148000,140600,140600,九州,高橋,完了,通常
O0036,2026-01-05,C009,個人顧客C,個人,P011,デスク,オフィス家具,24800,3,0.00,74400,74400,74400,中部,佐藤,処理中,通常
O0037,2026-02-24,C009,個人顧客C,個人,P012,LEDデスクライト,オフィス家具,4800,1,0.00,4800,4800,4800,関西,高橋,完了,通常
O0038,2026-09-16,C005,北斗システム,法人,P008,外付けSSD 1TB,ストレージ,13800,2,0.05,27600,26220,26220,関東,高橋,完了,通常
O0039,2026-03-08,C005,北斗システム,法人,P011,デスク,オフィス家具,24800,20,0.10,496000,446400,446400,関東,佐藤,完了,通常
O0040,2026-02-08,C003,さくら物流,法人,P012,LEDデスクライト,オフィス家具,5000,1,0.05,5000,4750,4750,東北,鈴木,完了,通常
O0041,2026-01-22,C006,ひかり企画,法人,P005,ワイヤレスマウス,周辺機器,3600,30,0.05,108000,102600,102600,関東,高橋,完了,通常
O0042,2026-07-28,C003,さくら物流,法人,P010,オフィスチェア,オフィス家具,32000,20,0.15,640000,544000,544000,東北,佐藤,処理中,要レビュー
O0043,2026-04-02,C006,ひかり企画,法人,P012,LEDデスクライト,オフィス家具,4800,20,0.10,96000,86400,86400,中部,鈴木,処理中,通常
O0044,2026-02-25,C001,青空商事,法人,P007,ヘッドセット,周辺機器,8900,3,0.10,26700,24030,24030,中部,鈴木,完了,通常
O0045,2026-04-25,C004,東都サービス,法人,P001,ノートPC,IT機器,98000,5,0.10,490000,441000,0,中部,高橋,キャンセル,通常
O0046,2026-07-24,C009,個人顧客C,個人,P011,デスク,オフィス家具,24800,3,0.00,74400,74400,0,関西,伊藤,キャンセル,通常
O0047,2026-05-16,C002,みらい工業,法人,P001,ノートPC,IT機器,102900,5,0.10,514500,463050,463050,九州,伊藤,完了,通常
O0048,2026-03-01,C010,個人顧客D,個人,P007,ヘッドセット,周辺機器,8900,1,0.05,8900,8455,8455,九州,鈴木,完了,通常
O0049,2026-07-06,C002,みらい工業,法人,P007,ヘッドセット,周辺機器,8900,10,0.10,89000,80100,80100,中部,伊藤,完了,通常
O0050,2026-06-08,C007,個人顧客A,個人,P011,デスク,オフィス家具,24800,1,0.00,24800,24800,24800,東北,田中,完了,通常
O0051,2026-03-31,C010,個人顧客D,個人,P010,オフィスチェア,オフィス家具,32000,1,0.05,32000,30400,30400,関西,田中,完了,通常
O0052,2026-06-14,C008,個人顧客B,個人,P008,外付けSSD 1TB,ストレージ,14500,2,0.00,29000,29000,29000,関西,佐藤,処理中,通常
O0053,2026-05-26,C010,個人顧客D,個人,P009,USBメモリ 64GB,ストレージ,1800,1,0.10,1800,1620,1620,中部,鈴木,完了,通常
O0054,2026-04-12,C001,青空商事,法人,P003,Webカメラ,IT機器,7400,3,0.05,22200,21090,21090,関東,田中,処理中,通常
O0055,2026-08-01,C010,個人顧客D,個人,P011,デスク,オフィス家具,24800,2,0.00,49600,49600,49600,関西,佐藤,完了,通常
O0056,2026-02-24,C004,東都サービス,法人,P007,ヘッドセット,周辺機器,8900,20,0.10,178000,160200,160200,九州,鈴木,完了,通常
O0057,2026-03-04,C003,さくら物流,法人,P008,外付けSSD 1TB,ストレージ,14500,10,0.15,145000,123250,123250,東北,伊藤,完了,要レビュー
O0058,2026-09-16,C009,個人顧客C,個人,P007,ヘッドセット,周辺機器,8900,3,0.05,26700,25365,25365,中部,鈴木,完了,通常
O0059,2026-05-22,C008,個人顧客B,個人,P009,USBメモリ 64GB,ストレージ,1800,1,0.00,1800,1800,1800,中部,高橋,完了,通常
O0060,2026-06-13,C002,みらい工業,法人,P009,USBメモリ 64GB,ストレージ,1800,2,0.05,3600,3420,3420,関西,佐藤,完了,通常
O0061,2026-08-01,C006,ひかり企画,法人,P007,ヘッドセット,周辺機器,9300,5,0.00,46500,46500,46500,東北,伊藤,処理中,通常
O0062,2026-01-11,C007,個人顧客A,個人,P010,オフィスチェア,オフィス家具,32000,1,0.00,32000,32000,32000,東北,伊藤,処理中,通常
O0063,2026-04-23,C004,東都サービス,法人,P008,外付けSSD 1TB,ストレージ,14500,5,0.00,72500,72500,72500,東北,鈴木,完了,通常
O0064,2026-08-28,C010,個人顧客D,個人,P003,Webカメラ,IT機器,8200,1,0.00,8200,8200,8200,関東,佐藤,完了,通常
O0065,2026-08-08,C008,個人顧客B,個人,P003,Webカメラ,IT機器,7800,1,0.00,7800,7800,7800,中部,高橋,完了,通常
O0066,2026-07-14,C007,個人顧客A,個人,P005,ワイヤレスマウス,周辺機器,3800,3,0.00,11400,11400,11400,関東,高橋,処理中,通常
O0067,2026-04-25,C002,みらい工業,法人,P011,デスク,オフィス家具,23600,20,0.15,472000,401200,401200,関東,伊藤,完了,要レビュー
O0068,2026-03-20,C003,さくら物流,法人,P004,USB-Cハブ,IT機器,6200,10,0.10,62000,55800,55800,中部,高橋,完了,通常
O0069,2026-03-27,C010,個人顧客D,個人,P010,オフィスチェア,オフィス家具,30400,2,0.00,60800,60800,60800,九州,佐藤,完了,通常
O0070,2026-06-09,C007,個人顧客A,個人,P010,オフィスチェア,オフィス家具,32000,3,0.00,96000,96000,96000,関西,佐藤,完了,通常
O0071,2026-06-04,C010,個人顧客D,個人,P011,デスク,オフィス家具,23600,2,0.00,47200,47200,47200,九州,田中,完了,通常
O0072,2026-07-09,C009,個人顧客C,個人,P002,モニター24インチ,IT機器,26800,1,0.00,26800,26800,26800,東北,高橋,完了,通常
O0073,2026-08-24,C003,さくら物流,法人,P012,LEDデスクライト,オフィス家具,4800,2,0.05,9600,9120,9120,九州,伊藤,完了,通常
O0074,2026-09-05,C007,個人顧客A,個人,P008,外付けSSD 1TB,ストレージ,15200,1,0.05,15200,14440,14440,関東,高橋,処理中,通常
O0075,2026-08-19,C008,個人顧客B,個人,P004,USB-Cハブ,IT機器,6500,2,0.00,13000,13000,13000,中部,鈴木,完了,通常
O0076,2026-09-07,C006,ひかり企画,法人,P004,USB-Cハブ,IT機器,6200,5,0.10,31000,27900,27900,中部,伊藤,完了,通常
O0077,2026-01-06,C004,東都サービス,法人,P009,USBメモリ 64GB,ストレージ,1700,3,0.05,5100,4845,4845,関西,田中,完了,通常
O0078,2026-09-09,C001,青空商事,法人,P008,外付けSSD 1TB,ストレージ,13800,3,0.05,41400,39330,39330,九州,高橋,完了,通常
O0079,2026-08-31,C009,個人顧客C,個人,P009,USBメモリ 64GB,ストレージ,1800,1,0.05,1800,1710,1710,東北,高橋,完了,通常
O0080,2026-06-06,C004,東都サービス,法人,P005,ワイヤレスマウス,周辺機器,3600,20,0.05,72000,68400,68400,関西,鈴木,処理中,通常
O0081,2026-04-21,C008,個人顧客B,個人,P012,LEDデスクライト,オフィス家具,4800,2,0.10,9600,8640,8640,中部,佐藤,完了,通常
O0082,2026-04-10,C004,東都サービス,法人,P005,ワイヤレスマウス,周辺機器,3800,2,0.00,7600,7600,7600,中部,佐藤,完了,通常
O0083,2026-01-28,C005,北斗システム,法人,P009,USBメモリ 64GB,ストレージ,1800,10,0.10,18000,16200,16200,関東,伊藤,完了,通常
O0084,2026-05-26,C008,個人顧客B,個人,P008,外付けSSD 1TB,ストレージ,14500,1,0.10,14500,13050,13050,東北,佐藤,完了,通常
O0085,2026-02-03,C008,個人顧客B,個人,P007,ヘッドセット,周辺機器,8500,2,0.00,17000,17000,17000,九州,高橋,完了,通常
O0086,2026-02-13,C002,みらい工業,法人,P004,USB-Cハブ,IT機器,6500,20,0.10,130000,117000,117000,関西,伊藤,処理中,通常
O0087,2026-07-14,C008,個人顧客B,個人,P008,外付けSSD 1TB,ストレージ,14500,3,0.10,43500,39150,39150,九州,佐藤,完了,通常
O0088,2026-02-20,C004,東都サービス,法人,P004,USB-Cハブ,IT機器,6200,10,0.00,62000,62000,62000,関東,鈴木,完了,通常
O0089,2026-01-02,C008,個人顧客B,個人,P007,ヘッドセット,周辺機器,9300,1,0.00,9300,9300,9300,中部,田中,完了,通常
O0090,2026-02-06,C004,東都サービス,法人,P011,デスク,オフィス家具,24800,20,0.10,496000,446400,446400,関西,田中,完了,通常
O0091,2026-02-28,C004,東都サービス,法人,P009,USBメモリ 64GB,ストレージ,1800,30,0.10,54000,48600,48600,関西,高橋,完了,通常
O0092,2026-05-28,C002,みらい工業,法人,P008,外付けSSD 1TB,ストレージ,14500,10,0.10,145000,130500,130500,九州,伊藤,保留,要レビュー
O0093,2026-09-10,C002,みらい工業,法人,P008,外付けSSD 1TB,ストレージ,15200,1,0.05,15200,14440,14440,中部,佐藤,完了,通常
O0094,2026-02-16,C010,個人顧客D,個人,P004,USB-Cハブ,IT機器,6500,5,0.10,32500,29250,29250,中部,伊藤,完了,通常
O0095,2026-01-21,C008,個人顧客B,個人,P003,Webカメラ,IT機器,8200,2,0.05,16400,15580,15580,九州,田中,完了,通常
O0096,2026-09-09,C008,個人顧客B,個人,P002,モニター24インチ,IT機器,26800,1,0.00,26800,26800,26800,関西,高橋,完了,通常
O0097,2026-07-30,C008,個人顧客B,個人,P012,LEDデスクライト,オフィス家具,4800,2,0.00,9600,9600,9600,関東,田中,処理中,通常
O0098,2026-02-15,C005,北斗システム,法人,P006,キーボード,周辺機器,6500,2,0.10,13000,11700,11700,関東,伊藤,処理中,通常
O0099,2026-08-25,C001,青空商事,法人,P007,ヘッドセット,周辺機器,8900,10,0.10,89000,80100,80100,東北,佐藤,完了,通常
O0100,2026-04-15,C009,個人顧客C,個人,P005,ワイヤレスマウス,周辺機器,3800,3,0.00,11400,11400,11400,関東,佐藤,完了,通常
O0101,2026-05-03,C003,さくら物流,法人,P012,LEDデスクライト,オフィス家具,4800,10,0.10,48000,43200,43200,関東,田中,完了,通常
O0102,2026-03-02,C003,さくら物流,法人,P011,デスク,オフィス家具,24800,30,0.05,744000,706800,706800,東北,田中,完了,要レビュー
O0103,2026-08-30,C008,個人顧客B,個人,P004,USB-Cハブ,IT機器,6500,1,0.00,6500,6500,6500,関西,佐藤,完了,通常
O0104,2026-05-22,C006,ひかり企画,法人,P007,ヘッドセット,周辺機器,9300,3,0.00,27900,27900,27900,九州,伊藤,完了,通常
O0105,2026-09-08,C008,個人顧客B,個人,P003,Webカメラ,IT機器,8200,1,0.00,8200,8200,8200,東北,田中,処理中,通常
O0106,2026-06-14,C004,東都サービス,法人,P004,USB-Cハブ,IT機器,6500,5,0.10,32500,29250,29250,中部,田中,完了,通常
O0107,2026-07-15,C003,さくら物流,法人,P007,ヘッドセット,周辺機器,8900,30,0.00,267000,267000,0,中部,佐藤,キャンセル,通常
O0108,2026-08-14,C009,個人顧客C,個人,P002,モニター24インチ,IT機器,26800,1,0.00,26800,26800,26800,関西,佐藤,処理中,通常
O0109,2026-08-29,C006,ひかり企画,法人,P005,ワイヤレスマウス,周辺機器,4000,10,0.10,40000,36000,36000,九州,田中,処理中,通常
O0110,2026-06-12,C008,個人顧客B,個人,P011,デスク,オフィス家具,26000,1,0.00,26000,26000,26000,中部,鈴木,完了,通常
O0111,2026-02-16,C002,みらい工業,法人,P007,ヘッドセット,周辺機器,8500,5,0.10,42500,38250,38250,関東,高橋,保留,要レビュー
O0112,2026-01-29,C006,ひかり企画,法人,P005,ワイヤレスマウス,周辺機器,3800,5,0.05,19000,18050,18050,関西,鈴木,完了,通常
O0113,2026-03-31,C010,個人顧客D,個人,P002,モニター24インチ,IT機器,26800,2,0.00,53600,53600,53600,関西,鈴木,保留,要レビュー
O0114,2026-08-25,C005,北斗システム,法人,P011,デスク,オフィス家具,24800,3,0.00,74400,74400,74400,中部,伊藤,処理中,通常
O0115,2026-03-22,C008,個人顧客B,個人,P002,モニター24インチ,IT機器,26800,5,0.00,134000,134000,0,中部,田中,キャンセル,通常
O0116,2026-06-04,C007,個人顧客A,個人,P004,USB-Cハブ,IT機器,6200,1,0.00,6200,6200,6200,中部,高橋,完了,通常
O0117,2026-01-12,C007,個人顧客A,個人,P011,デスク,オフィス家具,24800,1,0.05,24800,23560,23560,関東,伊藤,処理中,通常
O0118,2026-09-12,C004,東都サービス,法人,P005,ワイヤレスマウス,周辺機器,4000,20,0.05,80000,76000,76000,中部,鈴木,完了,通常
O0119,2026-02-19,C001,青空商事,法人,P011,デスク,オフィス家具,24800,20,0.00,496000,496000,496000,関西,佐藤,完了,通常
O0120,2026-06-01,C007,個人顧客A,個人,P006,キーボード,周辺機器,6500,1,0.05,6500,6175,6175,中部,伊藤,処理中,通常
O0121,2026-09-14,C003,さくら物流,法人,P005,ワイヤレスマウス,周辺機器,3800,30,0.15,114000,96900,0,中部,高橋,キャンセル,要レビュー
O0122,2026-02-28,C002,みらい工業,法人,P008,外付けSSD 1TB,ストレージ,14500,20,0.05,290000,275500,275500,東北,伊藤,完了,通常
O0123,2026-07-07,C007,個人顧客A,個人,P002,モニター24インチ,IT機器,25500,1,0.00,25500,25500,25500,中部,伊藤,完了,通常
O0124,2026-07-15,C006,ひかり企画,法人,P011,デスク,オフィス家具,23600,10,0.05,236000,224200,224200,九州,高橋,完了,通常
O0125,2026-04-24,C002,みらい工業,法人,P011,デスク,オフィス家具,24800,30,0.05,744000,706800,706800,関西,佐藤,完了,要レビュー
O0126,2026-01-20,C008,個人顧客B,個人,P005,ワイヤレスマウス,周辺機器,3600,1,0.05,3600,3420,3420,東北,高橋,完了,通常
O0127,2026-08-03,C003,さくら物流,法人,P010,オフィスチェア,オフィス家具,32000,10,0.10,320000,288000,288000,中部,佐藤,完了,通常
O0128,2026-07-09,C008,個人顧客B,個人,P004,USB-Cハブ,IT機器,6200,5,0.05,31000,29450,29450,中部,伊藤,完了,通常
O0129,2026-07-03,C007,個人顧客A,個人,P001,ノートPC,IT機器,98000,1,0.00,98000,98000,98000,東北,佐藤,処理中,通常
O0130,2026-04-19,C010,個人顧客D,個人,P011,デスク,オフィス家具,23600,1,0.00,23600,23600,0,九州,鈴木,キャンセル,通常
O0131,2026-02-05,C004,東都サービス,法人,P009,USBメモリ 64GB,ストレージ,1900,3,0.10,5700,5130,5130,関西,伊藤,完了,通常
O0132,2026-01-02,C003,さくら物流,法人,P005,ワイヤレスマウス,周辺機器,3800,10,0.10,38000,34200,34200,関東,鈴木,完了,通常
O0133,2026-01-08,C004,東都サービス,法人,P006,キーボード,周辺機器,6800,5,0.00,34000,34000,34000,東北,伊藤,完了,通常
O0134,2026-02-28,C002,みらい工業,法人,P012,LEDデスクライト,オフィス家具,4800,5,0.05,24000,22800,22800,東北,伊藤,完了,通常
O0135,2026-04-24,C001,青空商事,法人,P010,オフィスチェア,オフィス家具,33600,5,0.10,168000,151200,151200,東北,田中,完了,通常
O0136,2026-08-07,C002,みらい工業,法人,P011,デスク,オフィス家具,24800,20,0.05,496000,471200,471200,中部,伊藤,保留,要レビュー
O0137,2026-03-17,C003,さくら物流,法人,P002,モニター24インチ,IT機器,26800,10,0.10,268000,241200,241200,東北,伊藤,完了,通常
O0138,2026-05-31,C009,個人顧客C,個人,P008,外付けSSD 1TB,ストレージ,15200,1,0.05,15200,14440,14440,九州,鈴木,完了,通常
O0139,2026-08-09,C004,東都サービス,法人,P008,外付けSSD 1TB,ストレージ,14500,5,0.05,72500,68875,68875,関東,高橋,完了,通常
O0140,2026-08-07,C005,北斗システム,法人,P006,キーボード,周辺機器,6500,30,0.10,195000,175500,175500,関東,佐藤,完了,通常
O0141,2026-02-17,C002,みらい工業,法人,P007,ヘッドセット,周辺機器,8900,20,0.10,178000,160200,160200,九州,伊藤,完了,通常
O0142,2026-06-18,C002,みらい工業,法人,P011,デスク,オフィス家具,24800,5,0.10,124000,111600,111600,関東,高橋,処理中,通常
O0143,2026-06-09,C002,みらい工業,法人,P006,キーボード,周辺機器,6800,10,0.00,68000,68000,68000,関東,高橋,完了,通常
O0144,2026-07-08,C005,北斗システム,法人,P002,モニター24インチ,IT機器,28100,3,0.05,84300,80085,80085,九州,伊藤,完了,通常
O0145,2026-01-14,C005,北斗システム,法人,P010,オフィスチェア,オフィス家具,30400,3,0.10,91200,82080,82080,中部,高橋,完了,通常
O0146,2026-01-04,C003,さくら物流,法人,P003,Webカメラ,IT機器,8200,10,0.00,82000,82000,82000,関東,佐藤,処理中,通常
O0147,2026-04-21,C007,個人顧客A,個人,P007,ヘッドセット,周辺機器,8900,1,0.00,8900,8900,8900,九州,伊藤,完了,通常
O0148,2026-02-13,C003,さくら物流,法人,P001,ノートPC,IT機器,98000,20,0.00,1960000,1960000,1960000,東北,田中,完了,要レビュー
O0149,2026-09-06,C008,個人顧客B,個人,P010,オフィスチェア,オフィス家具,32000,1,0.05,32000,30400,30400,東北,佐藤,完了,通常
O0150,2026-05-26,C010,個人顧客D,個人,P011,デスク,オフィス家具,24800,1,0.00,24800,24800,24800,九州,佐藤,完了,通常
O0151,2026-01-04,C005,北斗システム,法人,P004,USB-Cハブ,IT機器,6200,20,0.10,124000,111600,111600,関東,佐藤,完了,通常
O0152,2026-09-12,C007,個人顧客A,個人,P012,LEDデスクライト,オフィス家具,4800,1,0.00,4800,4800,4800,九州,高橋,完了,通常
O0153,2026-02-06,C001,青空商事,法人,P007,ヘッドセット,周辺機器,8900,1,0.15,8900,7565,7565,九州,田中,処理中,要レビュー
O0154,2026-07-27,C007,個人顧客A,個人,P012,LEDデスクライト,オフィス家具,4800,1,0.00,4800,4800,4800,九州,田中,完了,通常
O0155,2026-07-05,C007,個人顧客A,個人,P002,モニター24インチ,IT機器,25500,1,0.00,25500,25500,25500,東北,高橋,完了,通常
O0156,2026-06-23,C006,ひかり企画,法人,P004,USB-Cハブ,IT機器,6200,1,0.10,6200,5580,5580,関西,高橋,完了,通常
O0157,2026-06-29,C003,さくら物流,法人,P012,LEDデスクライト,オフィス家具,4800,2,0.05,9600,9120,9120,関西,佐藤,完了,通常
O0158,2026-04-01,C008,個人顧客B,個人,P011,デスク,オフィス家具,24800,2,0.05,49600,47120,47120,九州,伊藤,完了,通常
O0159,2026-06-15,C006,ひかり企画,法人,P011,デスク,オフィス家具,24800,5,0.05,124000,117800,117800,中部,伊藤,完了,通常
O0160,2026-01-29,C009,個人顧客C,個人,P006,キーボード,周辺機器,6200,1,0.00,6200,6200,6200,中部,佐藤,完了,通常
O0161,2026-02-16,C010,個人顧客D,個人,P010,オフィスチェア,オフィス家具,33600,1,0.00,33600,33600,0,関東,田中,キャンセル,通常
O0162,2026-04-07,C010,個人顧客D,個人,P006,キーボード,周辺機器,6500,1,0.10,6500,5850,5850,中部,佐藤,完了,通常
O0163,2026-09-16,C003,さくら物流,法人,P011,デスク,オフィス家具,23600,3,0.05,70800,67260,67260,九州,伊藤,完了,通常
O0164,2026-03-23,C006,ひかり企画,法人,P006,キーボード,周辺機器,6500,5,0.10,32500,29250,29250,関東,高橋,完了,通常
O0165,2026-02-03,C002,みらい工業,法人,P006,キーボード,周辺機器,6800,10,0.05,68000,64600,64600,九州,鈴木,完了,通常
O0166,2026-06-20,C010,個人顧客D,個人,P002,モニター24インチ,IT機器,26800,3,0.00,80400,80400,80400,東北,鈴木,完了,通常
O0167,2026-02-13,C009,個人顧客C,個人,P005,ワイヤレスマウス,周辺機器,3800,2,0.00,7600,7600,7600,九州,佐藤,完了,通常
O0168,2026-08-05,C006,ひかり企画,法人,P009,USBメモリ 64GB,ストレージ,1700,5,0.00,8500,8500,8500,東北,鈴木,完了,通常
O0169,2026-04-26,C003,さくら物流,法人,P003,Webカメラ,IT機器,7400,3,0.10,22200,19980,19980,九州,伊藤,完了,通常
O0170,2026-01-20,C006,ひかり企画,法人,P011,デスク,オフィス家具,26000,2,0.05,52000,49400,49400,九州,鈴木,完了,通常
O0171,2026-08-13,C007,個人顧客A,個人,P001,ノートPC,IT機器,98000,2,0.00,196000,196000,196000,中部,田中,完了,通常
O0172,2026-04-30,C004,東都サービス,法人,P009,USBメモリ 64GB,ストレージ,1800,30,0.10,54000,48600,48600,関西,高橋,保留,要レビュー
O0173,2026-08-14,C005,北斗システム,法人,P008,外付けSSD 1TB,ストレージ,14500,10,0.05,145000,137750,137750,関西,伊藤,完了,通常
O0174,2026-03-12,C001,青空商事,法人,P005,ワイヤレスマウス,周辺機器,3800,20,0.10,76000,68400,68400,九州,佐藤,完了,通常
O0175,2026-05-26,C003,さくら物流,法人,P002,モニター24インチ,IT機器,26800,5,0.05,134000,127300,127300,関東,鈴木,処理中,通常
O0176,2026-08-19,C001,青空商事,法人,P006,キーボード,周辺機器,6500,1,0.05,6500,6175,6175,関東,高橋,完了,通常
O0177,2026-04-25,C006,ひかり企画,法人,P001,ノートPC,IT機器,93100,20,0.10,1862000,1675800,1675800,関西,佐藤,処理中,要レビュー
O0178,2026-05-27,C003,さくら物流,法人,P008,外付けSSD 1TB,ストレージ,14500,5,0.00,72500,72500,72500,中部,鈴木,完了,通常
O0179,2026-03-18,C010,個人顧客D,個人,P009,USBメモリ 64GB,ストレージ,1900,1,0.05,1900,1805,1805,関東,佐藤,完了,通常
O0180,2026-05-03,C010,個人顧客D,個人,P007,ヘッドセット,周辺機器,8900,1,0.05,8900,8455,8455,九州,佐藤,完了,通常
O0181,2026-05-04,C003,さくら物流,法人,P012,LEDデスクライト,オフィス家具,4800,5,0.10,24000,21600,21600,東北,鈴木,完了,通常
O0182,2026-02-13,C006,ひかり企画,法人,P009,USBメモリ 64GB,ストレージ,1700,30,0.05,51000,48450,48450,九州,伊藤,処理中,通常
O0183,2026-01-11,C008,個人顧客B,個人,P007,ヘッドセット,周辺機器,8500,2,0.10,17000,15300,15300,関東,高橋,完了,通常
O0184,2026-02-04,C004,東都サービス,法人,P006,キーボード,周辺機器,6200,20,0.10,124000,111600,111600,関東,高橋,完了,通常
O0185,2026-06-23,C003,さくら物流,法人,P011,デスク,オフィス家具,24800,30,0.05,744000,706800,706800,関西,佐藤,完了,要レビュー
O0186,2026-08-23,C005,北斗システム,法人,P001,ノートPC,IT機器,98000,1,0.00,98000,98000,98000,中部,伊藤,完了,通常
O0187,2026-07-23,C008,個人顧客B,個人,P009,USBメモリ 64GB,ストレージ,1800,1,0.00,1800,1800,1800,関東,高橋,完了,通常
O0188,2026-05-20,C006,ひかり企画,法人,P002,モニター24インチ,IT機器,26800,30,0.10,804000,723600,723600,東北,高橋,保留,要レビュー
O0189,2026-04-06,C008,個人顧客B,個人,P008,外付けSSD 1TB,ストレージ,14500,3,0.00,43500,43500,43500,東北,佐藤,処理中,通常
O0190,2026-08-09,C003,さくら物流,法人,P010,オフィスチェア,オフィス家具,33600,3,0.00,100800,100800,100800,中部,高橋,完了,通常
